"","start_date","first_ccy_pair","d_xrate","d_new_users","fitted","new_users_1","new_users","Expected new users","Over/under"
"1188",2015-05-04,"USD > INR",0.00313955440714286,-0.202521202521203,-0.399997700125522,1515.15,1208.3,909,0.329262926292629
"1189",2015-05-11,"EUR > GBP",-0.0183117463153194,-0.0972196478220574,-0.0352533778263182,1079,974.1,1041,-0.0642651296829971
"1190",2015-05-11,"EUR > INR",0.00780638097735964,-0.393890675241158,-0.600713754368239,622,377,248,0.520161290322581
"1191",2015-05-11,"EUR > USD",0.00708108865370183,-0.215189873417722,-0.0753793023052038,316,248,292,-0.150684931506849
"1192",2015-05-11,"GBP > INR",0.0265177145491917,0.41627191888972,-0.311608980560718,1203.3,1704.2,828,1.05821256038647
"1193",2015-05-11,"GBP > EUR",0.0185897435897435,0.0796095597013178,-0.0312965290036968,2136.05,2306.1,2069,0.114596423392944
"1194",2015-05-11,"GBP > HUF",0.0252490998839063,0.040909090909091,0.0186272884430114,220,229,224,0.0223214285714286
"1195",2015-05-11,"GBP > USD",0.0257719403432513,0.0755813953488371,0.0459313410748886,344,370,360,0.0277777777777777
"1196",2015-05-11,"other",NA,-0.00098867517526513,NA,NA,2778.75,2778.75,0
"1197",2015-05-11,"USD > INR",0.000751511256872339,-0.363444508814036,-1.04638146041868,1208.3,769.15,-56,-14.7348214285714
"1198",2015-05-18,"EUR > GBP",-0.00583534438422273,-0.0955240735037471,0.0385816411883768,974.1,881.05,1012,-0.129397233201581
"1199",2015-05-18,"EUR > INR",-0.0110333678807414,-0.368700265251989,-0.272831752614907,377,238,274,-0.131386861313869
"1200",2015-05-18,"EUR > USD",-0.00825798292760027,-0.0562499999999999,-0.0120613107971131,248,234.05,245,-0.0446938775510204
"1201",2015-05-18,"GBP > INR",-0.00527758644678,-0.744748268982514,-0.534471084691234,1704.2,435,793,-0.451450189155107
"1202",2015-05-18,"GBP > EUR",0.00590122667106852,0.0767095962881055,0.208194028118689,2306.1,2483,2786,-0.10875807609476
"1203",2015-05-18,"GBP > HUF",0.0104233307373167,-0.0567685589519651,0.0729978135753121,229,216,246,-0.121951219512195
"1204",2015-05-18,"GBP > USD",-0.0024932645326271,-0.102702702702703,0.0253174492614894,370,332,379,-0.12401055408971
"1205",2015-05-18,"other",NA,-0.0347458389563653,NA,NA,2682.2,2682.2,0
"1206",2015-05-18,"USD > INR",-0.00281302832440111,-0.262237534941169,-0.421422687704148,769.15,567.45,445,0.275168539325843
"1207",2015-05-25,"EUR > GBP",-0.00813784595793787,0.125986039384825,-0.00423912700438793,881.05,992.05,877,0.131185860889396
"1208",2015-05-25,"EUR > INR",-0.019833352540046,0.0630252100840336,-0.111376670150279,238,253,211,0.199052132701422
"1209",2015-05-25,"EUR > USD",-0.0222769120909949,0.281777397991882,0.0342079400298877,234.05,300,242,0.239669421487603
"1210",2015-05-25,"GBP > INR",-0.0116747380087544,0.101149425287356,-0.242267933085178,435,479,330,0.451515151515151
"1211",2015-05-25,"GBP > EUR",0.00819478774576687,0.132903745469191,0.00324262505110808,2483,2813,2491,0.129265355279004
"1212",2015-05-25,"GBP > HUF",0.0134254450639004,0.259259259259259,0.11336538183397,216,272,240,0.133333333333333
"1213",2015-05-25,"GBP > USD",-0.0140905678343191,0.0512048192771084,-0.0315214188557442,332,349,322,0.0838509316770186
"1214",2015-05-25,"other",NA,0.198810677801804,NA,NA,3215.45,3215.45,0
"1215",2015-05-25,"USD > INR",0.00247272159013989,0.346550356859635,-0.675014747458319,567.45,764.1,184,3.15271739130435
"1216",2015-06-01,"EUR > GBP",0.019197592778335,0.0866891789728341,0.079605630680889,992.05,1078.05,1071,0.00658263305322127
"1217",2015-06-01,"EUR > INR",0.015340810920508,1.10276679841897,0.661901617601633,253,532,420,0.266666666666667
"1218",2015-06-01,"EUR > USD",0.0134594065862406,0.0600000000000001,0.0649765374065528,300,318,319,-0.00313479623824453
"1219",2015-06-01,"GBP > EUR",-0.0188097660223805,-0.220387486669037,-0.0712995401916438,2813,2193.05,2612,-0.160394333843798
"1220",2015-06-01,"GBP > INR",-0.00390061540616415,0.156576200417537,0.118188704683219,479,554,536,0.0335820895522387
"1221",2015-06-01,"GBP > HUF",-0.011709000945303,-0.272058823529412,-0.166859597238115,272,198,227,-0.127753303964758
"1222",2015-06-01,"GBP > USD",-0.00575764048178451,0.0630372492836677,0.0773956512884221,349,371,376,-0.0132978723404256
"1223",2015-06-01,"other",NA,-0.0825700912780482,NA,NA,2949.95,2949.95,0
"1224",2015-06-01,"USD > INR",0.00185495015465387,0.269794529511844,-0.0915331696354758,764.1,970.25,694,0.398054755043228
"1225",2015-06-08,"EUR > GBP",0.00407424173834325,-0.029683224340244,0.0290539402146806,1078.05,1046.05,1109,-0.0567628494138864
"1226",2015-06-08,"EUR > INR",0.013662083102665,-0.142763157894737,-0.124971098275795,532,456.05,466,-0.0213519313304721
"1227",2015-06-08,"EUR > USD",0.0120452468889547,-0.135062893081761,0.0100627705567935,318,275.05,321,-0.143146417445483
"1228",2015-06-08,"GBP > EUR",-0.00406423987309623,-0.0456213948610383,0.00557344029942817,2193.05,2093,2205,-0.0507936507936508
"1229",2015-06-08,"GBP > INR",0.00958523287119806,0.368231046931408,0.129713192552326,554,758,626,0.210862619808307
"1230",2015-06-08,"GBP > HUF",0.000694865151637192,0.0707070707070707,0.109155612915373,198,212,220,-0.0363636363636364
"1231",2015-06-08,"GBP > USD",0.00793925072153767,-0.00525606469002693,0.0353598068190493,371,369.05,384,-0.0389322916666667
"1232",2015-06-08,"other",NA,-0.0361023068187596,NA,NA,2843.45,2843.45,0
"1233",2015-06-08,"USD > INR",0.00162236770448709,-0.287760886369492,-0.579842194535073,970.25,691.05,408,0.69375
