"","week","date","WNU_GBPINR","WNU","start_date","end_date","yearmon","avg_rate","end_of_month","d_avg_rate","d_WNU_GBPINR","d_WNU","lag1_d_WNU_GBPINR","lag2_d_WNU_GBPINR","lag1_d_WNU","lag2_d_WNU"
"56","2014-45","2014-11-03",433,6222,2014-11-03,2014-11-09,Nov 2014,97.7511428571429,0,-0.00588818221533327,-0.0960334029227558,-0.0156620787850024,1.17727272727273,0.0185185185185186,0.263947210557888,-0.00891795481569557
"57","2014-46","2014-11-10",341,5618,2014-11-10,2014-11-16,Nov 2014,97.1218285714286,0,-0.00643792253799003,-0.212471131639723,-0.0970748955319832,-0.0960334029227558,1.17727272727273,-0.0156620787850024,0.263947210557888
"58","2014-47","2014-11-17",395,5813,2014-11-17,2014-11-23,Nov 2014,96.6799,0,-0.00455024970111162,0.158357771260997,0.0347098611605554,-0.212471131639723,-0.0960334029227558,-0.0970748955319832,-0.0156620787850024
"59","2014-48","2014-11-24",667,7016,2014-11-24,2014-11-30,Nov 2014,97.0419714285714,1,0.00374505381750945,0.688607594936709,0.206949939790126,0.158357771260997,-0.212471131639723,0.0347098611605554,-0.0970748955319832
"60","2014-49","2014-12-01",659,7159,2014-12-01,2014-12-07,Dec 2014,96.9274714285714,0,-0.00117990183334526,-0.0119940029985007,0.0203819840364881,0.688607594936709,0.158357771260997,0.206949939790126,0.0347098611605554
"61","2014-50","2014-12-08",736,6959,2014-12-08,2014-12-14,Dec 2014,97.3914285714286,0,0.00478664238341397,0.116843702579666,-0.0279368626903199,-0.0119940029985007,0.688607594936709,0.0203819840364881,0.206949939790126
"62","2014-51","2014-12-15",1095,7990,2014-12-15,2014-12-21,Dec 2014,99.2514142857143,0,0.0190980432422918,0.487771739130435,0.148153470326196,0.116843702579666,-0.0119940029985007,-0.0279368626903199,0.0203819840364881
"63","2014-52","2014-12-22",637,5024,2014-12-22,2014-12-28,Dec 2014,99.0270428571429,0,-0.00226063709203717,-0.418264840182648,-0.371214017521902,0.487771739130435,0.116843702579666,0.148153470326196,-0.0279368626903199
"64","2015-01","2014-12-29",512,5637,2014-12-29,2015-01-04,Dec 2014,98.5632714285714,1,-0.00468328059882062,-0.196232339089482,0.122014331210191,-0.418264840182648,0.487771739130435,-0.371214017521902,0.148153470326196
"65","2015-02","2015-01-05",356,6953,2015-01-05,2015-01-11,Jan 2015,95.7378142857143,0,-0.0286664302219791,-0.3046875,0.233457512861451,-0.196232339089482,-0.418264840182648,0.122014331210191,-0.371214017521902
"66","2015-03","2015-01-12",308,7414,2015-01-12,2015-01-18,Jan 2015,94.0724,0,-0.0173955745505546,-0.134831460674157,0.0663023155472457,-0.3046875,-0.196232339089482,0.233457512861451,0.122014331210191
"67","2015-04","2015-01-19",429,8224,2015-01-19,2015-01-25,Jan 2015,92.9616857142857,0,-0.01180701550842,0.392857142857143,0.109252765039115,-0.134831460674157,-0.3046875,0.0663023155472457,0.233457512861451
"68","2015-05","2015-01-26",914,10351,2015-01-26,2015-02-01,Jan 2015,92.8831857142857,1,-0.000844433912711717,1.13053613053613,0.25863326848249,0.392857142857143,-0.134831460674157,0.109252765039115,0.0663023155472457
"69","2015-06","2015-02-02",536,7541,2015-02-02,2015-02-08,Feb 2015,93.8212,0,0.0100988599658896,-0.413566739606127,-0.271471355424597,1.13053613053613,0.392857142857143,0.25863326848249,0.109252765039115
"70","2015-07","2015-02-09",504,7031,2015-02-09,2015-02-15,Feb 2015,95.1055285714286,0,0.0136891083404238,-0.0597014925373134,-0.067630287760244,-0.413566739606127,1.13053613053613,-0.271471355424597,0.25863326848249
"71","2015-08","2015-02-16",433,7325,2015-02-16,2015-02-22,Feb 2015,95.7541428571429,0,0.00681994301968603,-0.140873015873016,0.0418148200824919,-0.0597014925373134,-0.413566739606127,-0.067630287760244,-0.271471355424597
"72","2015-09","2015-02-23",562,8390,2015-02-23,2015-03-01,Feb 2015,95.6738142857143,1,-0.00083890439652734,0.297921478060046,0.145392491467577,-0.140873015873016,-0.0597014925373134,0.0418148200824919,-0.067630287760244
"73","2015-10","2015-03-02",593,8627,2015-03-02,2015-03-08,Mar 2015,94.93,0,-0.00777448135905823,0.0551601423487544,0.0282479141835519,0.297921478060046,-0.140873015873016,0.145392491467577,0.0418148200824919
"74","2015-11","2015-03-09",364,8655,2015-03-09,2015-03-15,Mar 2015,93.8452142857143,0,-0.0114272170471476,-0.386172006745363,0.00324562420308339,0.0551601423487544,0.297921478060046,0.0282479141835519,0.145392491467577
"75","2015-12","2015-03-16",324,7572,2015-03-16,2015-03-22,Mar 2015,92.7762571428571,0,-0.0113906409718739,-0.10989010989011,-0.125129982668977,-0.386172006745363,0.0551601423487544,0.00324562420308339,0.0282479141835519
"76","2015-13","2015-03-23",465,9240,2015-03-23,2015-03-29,Mar 2015,93.1366857142857,0,0.00388492252790051,0.435185185185185,0.220285261489699,-0.10989010989011,-0.386172006745363,-0.125129982668977,0.00324562420308339
"77","2015-14","2015-03-30",439,8197,2015-03-30,2015-04-05,Mar 2015,92.5650428571429,1,-0.00613767660679365,-0.0559139784946237,-0.112878787878788,0.435185185185185,-0.10989010989011,0.220285261489699,-0.125129982668977
"78","2015-15","2015-04-06",472,8533,2015-04-06,2015-04-12,Apr 2015,92.1729571428571,0,-0.00423578601795527,0.0751708428246014,0.0409906063193852,-0.0559139784946237,0.435185185185185,-0.112878787878788,0.220285261489699
"79","2015-16","2015-04-13",571,8089,2015-04-13,2015-04-19,Apr 2015,92.2103571428571,0,0.00040575892495287,0.209745762711864,-0.0520332825500996,0.0751708428246014,-0.0559139784946237,0.0409906063193852,-0.112878787878788
"80","2015-17","2015-04-20",1026,10557,2015-04-20,2015-04-26,Apr 2015,94.6818285714286,0,0.0268025361266357,0.796847635726795,0.30510569909754,0.209745762711864,0.0751708428246014,-0.0520332825500996,0.0409906063193852
